Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Marcell Ozuna","2 Tms",927,3861,3536,964,634,162,20,148,467,538,291,12,814,14,18,1,88,26,13,0.272624434,10324
"Total","Corey Dickerson","4 Tms",775,2914,2716,776,442,190,29,115,375,370,168,26,620,10,17,1,51,23,18,0.285714285,10762
"Total","Nicholas Castellanos","2 Tms",883,3646,3360,930,549,229,32,120,408,460,234,11,840,23,29,0,64,11,14,0.276785714,11737
