Season,League,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
2019,"AL",24101,93275,83557,21154,12973,4318,385,3478,11859,11330,7916,275,21415,936,595,245,1728,1147,435,0.253168495
2019,"NL",27780,93236,83095,20886,12975,4213,400,3298,11608,11143,7979,478,21408,1048,554,532,1736,1133,397,0.251350863
