Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Marcell Ozuna","2 Tms",3861,0.075369075,0.21082621,0.357493857,0.272624434,0.328841668,0.455316742,0.78415841,0.182692308,0.314814814,515.1470682332665,64.96367213226864,0.33629043805063125,112.46056051052572,10324
"Total","Corey Dickerson","4 Tms",2914,0.057652711,0.212765957,0.270967741,0.285714285,0.327722432,0.504050073,0.831772505,0.218335788,0.33083083,419.9194676173863,80.20137061607211,0.3505556644352098,116.72818874630661,10762
"Total","Nicholas Castellanos","2 Tms",3646,0.064179923,0.230389467,0.278571428,0.276785714,0.32556226,0.471130952,0.796693212,0.194345238,0.333470564,495.20201051733403,67.47331447652486,0.3382537561072936,111.72008821325882,11737
