Season,League,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
2019,"AL",93275,1.16067104,0.212785754,0.422876393,0.364337851,0.101404605,0.153141649,0.063657056,0.276898734,0.4132,0.339,0.2478,0.1676,0.454,0.3784
2019,"NL",93236,1.242768403,0.215905223,0.434484546,0.349610229,0.095308733,0.152883367,0.063113133,0.19793621,0.4005,0.3457,0.2538,0.1728,0.4455,0.3817
