Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Marcell Ozuna","2 Tms",3861,1.352248394,0.197882438,0.461117196,0.341000365,0.08993576,0.158458244,0.071258907,0.5,0.4072,0.3543,0.2386,0.1583,0.4436,0.398,10324
"Total","Corey Dickerson","4 Tms",2914,1.030534351,0.24288425,0.384250474,0.372865275,0.108142493,0.146310432,0.08765432,0.666666666,0.3292,0.3553,0.3155,0.1873,0.4664,0.3463,10762
"Total","Nicholas Castellanos","2 Tms",3646,0.929949238,0.25421734,0.35935661,0.386426049,0.020304568,0.121827411,0.072052401,0,0.3982,0.3295,0.2723,0.1193,0.4821,0.3986,11737
